,0
A0,0.5179867425810665
B0,0.5169357649623363
C0,0.5191707122605359
D0,0.5453762052098823
A1,0.4933866387866991
B1,0.5083374625226852
C1,0.4853327028297773
D1,0.4846339310610573
A2,0.4978235062609523
B2,0.48089201602140036
C2,0.4801932735144174
D2,0.4889495035239385
A3,0.4738954422028603
B3,0.4738851865136634
C3,0.47789652587250236
D3,0.4762829748618041
A4,0.47878762356741134
B4,0.4785058170285033
C4,0.47331889719385684
D4,0.4788815640371062
A5,0.4746926087084373
B5,0.4761019748928714
C5,0.4752300303618925
D5,0.4778054563322779
